Ways to express speaking
affirmed
announced
answered
articulated
asked
barked
begged
bellowed
blurted
breathed
chimed
commanded
cried
declared
enunciated
exclaimed
explained
gasped
growled
grumbled
interjected
interrupted
intoned
moaned
mumbled
murmured
muttered
noted
pleaded
pontificated
quipped
rasped
remarked
replied
said
screamed
shouted
sighed
snapped
spoke
sputtered
stammered
stated
uttered
whispered
yelped
stuttered
